"titulo";"url_noticia";"tag";"texto";"url_imagen";"periodista";"tiempo";"fecha_captura"
"   Colo Colo le golpea la mesa a Gustavo Quinteros y zanja el capítulo de los refuerzos en el Cacique";"/el-deportivo/noticia/colo-colo-le-golpea-la-mesa-a-gustavo-quinteros-y-zanja-el-capitulo-de-los-refuerzos-en-el-cacique/5KRKOZHL2VFDRMVMJOJABPCQOA/";"Fútbol ";"Alfredo Stöhwing, el presidente de Blanco y Negro, respira algo más aliviado después de la victoria de Colo Colo ante La Calera. Sin embargo, raya la cancha respecto de las decisiones que tomará el club albo de cara al segundo semestre.";"https://www.latercera.com/resizer/MVlIKaMuMr2r3D0-Dhtzx9NHl-g=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/67JUBS3OINC63HKDLE4OYJX7UM.jpg";"Christian González";" Hace 3 horas ";"2023-07-08"
"   En vivo: Nicolás Jarry gana el segundo set ante Carlos Alcaraz en Wimbledon";"/el-deportivo/noticia/en-vivo-nicolas-jarry-enfrenta-a-carlos-alcaraz-en-wimbledon/VGWXOFBGWFDMBPCP74344KB6QE/";"Minuto a minuto ";"El tenista nacional tiene un duro enfrentamiento contra el español, número uno del mundo, por el paso a los octavos de final del Grand Slam.";"https://www.latercera.com/resizer/kUAcoQUTnfdDIboqdFmyePtrK24=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/AZAFCY4ADNEIVI7LP22TD75QEU.jpg";"El Deportivo";" Hace 3 horas ";"2023-07-08"
"   Jefe del Organismo de Energía Atómica acude a Corea del Sur para disipar  dudas sobre vertido de agua de Fukushima";"/mundo/noticia/jefe-del-organismo-de-energia-atomica-acude-a-corea-del-sur-para-disipar-dudas-sobre-vertido-de-agua-de-fukushima/EX3KB73CMJASLF3AGJ4UATPDEQ/";"Mundo ";"Rafael Grossi, director general de OIEA, fue recibido con protestas en el aeropuerto de Seúl, luego que la entidad aprobó el plan de verter al océano las aguas residuales de la central nuclear. El líder del opositor Partido Democrático, Lee Jae-myung, dijo que el Gobierno surcoreano debería intentar detener el plan y llevar el caso ante el Tribunal Internacional del Derecho del Mar.";"https://www.latercera.com/resizer/KIuwbEkwROJAljd7zKwsx1uKFvo=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/3PKJOJGA4NBPYW76ANLQWUUJDQ.jpg";"Agencia Reuters";" Hace 7 horas ";"2023-07-08"
"   Caso Australis: Joyvio abre flanco en Miami contra Isidoro Quiroga";"/pulso/noticia/caso-australis-joyvio-abre-flanco-en-miami-contra-isidoro-quiroga/EKQSARNB3BHBNE2SE5ZXM3RQSI/";"Empresas ";"Grupo chino pidió a un tribunal de Florida acceder a la información financiera del empresario en el JP Morgan. Defensa de Quiroga responde que la solicitud “forma parte de la estrategia extorsiva” de Joyvio.";"https://www.latercera.com/resizer/MJSSekXdIEP--6hq_44R6kC266I=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/MWPJOUD5BZAHHKFGILLF36YRA4.jpeg";"Víctor Cofré";" Hace 7 horas ";"2023-07-08"
"   Trabajadores LGBT+ sufren más de depresión en las empresas que los heterosexuales";"/pulso/noticia/trabajadores-lgbt-sufren-mas-de-depresion-en-las-empresas-que-los-heterosexuales/LAEEDVMGFJBGTCZ3WW6VXJWXQM/";"Trabajo ";"Un estudio de WTW indica que, en la región, México es el país que reporta mayor bienestar entre la comunidad LGBT+. En Chile, el 59% de empleados de este grupo tiene niveles de ansiedad relevantes.";"https://www.latercera.com/resizer/ljr_JDWj8uzyvf3nbq7tB7GKSZM=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/K3OHVMR4JZDQFGR66SJLD7JQRQ.jpg";"Daniel Fajardo C.";" Hace 7 horas ";"2023-07-08"
"  Columna de Valeria Andía: “Igualando la cancha digital”";"/pulso/noticia/columna-de-valeria-andia-igualando-la-cancha-digital/CQ3ZEO427BBLNL4KWYHIY2YJSI/";"Opinión ";NA;"https://www.latercera.com/resizer/TMp4oUASgTTSC2o1o_Sk7XAgn5Y=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/EXHYIRDYRBFVDJS5IXVLY2KDVA.jpg";"Valeria Andía";" Hace 8 horas ";"2023-07-08"
"   SII: Organizaciones sin Fines de Lucro han declarado ingresos recibidos por más de US$9.400 millones correspondientes a 2022";"/pulso/noticia/sii-en-lo-que-va-de-2023-las-organizaciones-sin-fines-de-lucro-han-declarado-ingresos-recibidos-por-mas-de-76-billones/AVW2SS42CBH5VLLUTROUJB6REE/";"Impuestos ";"Con la finalidad de evitar la falta de información, desde el 2017 las Organizaciones sin Fines de Lucro con ingresos en dinero o especies superiores a las 12 mil UF anuales, tienen la obligación de presentar una Declaración Jurada.";"https://www.latercera.com/resizer/FFJWJMzCCI3LrCqX5J8QMhWC_DI=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/FZPGDI4T5NAMLAFCYDROTY3U2E.jpg";"Sofía Aravena";" Hace 8 horas ";"2023-07-08"
"   Militares sacan a más de cuatro mil mineros ilegales de la Amazonía venezolana";"/mundo/noticia/militares-sacan-a-mas-de-cuatro-mil-mineros-ilegales-de-la-amazonia-venezolana/ZGHE366FTREKVKZ36YXB352QRU/";"Mundo ";"Desde Fuerza Armada Nacional Bolivariana de Venezuela se informó que se trata de ciudadanos que “han abandonado voluntariamente el Parque Nacional Yapacana”, y que “con su acción de evacuación contribuirán a la salvación de la especie humana en el planeta y (entenderán) que no hay forma que pueda restituir el daño causado por la minería ilegal en estos ambientes”.";"https://www.latercera.com/resizer/2rmsWftbuQV24QQwPBzSlVOAQx4=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/IRQSFN75EJBWPEFAQDCHMG7ZAE.jpg";"Europa Press";" Hace 8 horas ";"2023-07-08"
"   Supremacista blanco que mató a 23 personas en Texas recibe 90 sentencias perpetuas";"/mundo/noticia/supremacista-blanco-que-mato-a-23-personas-en-texas-recibe-90-sentencias-perpetuas/VR6AHMQ66ZCWNG2G34JNNATVZM/";"Mundo ";"La sentencia del juez federal, David Guaderrama, se adhiere a un acuerdo de febrero en el que Patrick Crusius, de 24 años, se declaró culpable y aceptó las penas para evitar la sentencia de muerte por ley federal. Un abogado defensor dijo que el agresor padecía una enfermedad mental que lo llevó a llevar a cabo el ataque";"https://www.latercera.com/resizer/thl4gZXDVfOT6CTnTnnziXOQiUc=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/CHKID6DK3BGI5I4XJ33TW43QIQ.jpg";"Agencia Reuters";" Hace 9 horas ";"2023-07-08"
"   Biden defiende suministro de bombas de racimo a Ucrania: “Me tomó tiempo convencerme de hacerlo”";"/mundo/noticia/biden-defiende-suministro-de-bombas-de-racimo-a-ucrania-me-tomo-tiempo-convencerme-de-hacerlo/5OV5LXTVJ5HRNBDPJVXJYHOWZ4/";"Mundo ";"El mandatario estadounidense calificó como una “difícil decisión” el envío de estas municiones a las tropas de KIev, tras aceptar la recomendación del Departamento de Estado. Dijo que “los ucranianos se están quedando sin municiones” y que las bombas de racimo aportarán una solución temporal que contribuirá a detener los tanques rusos.";"https://www.latercera.com/resizer/oMZzoiBvGnYCsr7KSG8_XFGB24c=/375x250/smart/cloudfront-us-east-1.images.arcpublishing.com/copesa/S74WZS4MNRSO7IEPP7UYDYZUWM.jpg";"La Tercera";" Hace 10 horas ";"2023-07-08"
